province,total_crimes,population,crimes_per_capita
Albacete,132765.0,386464,0.3435378198228037
Alicante/Alacant,1048864.0,1881762,0.5573839837343936
Almería,328185.0,731792,0.4484675973500667
Araba/Álava,119519.0,333626,0.35824246311738295
Asturias,252283.0,1011792,0.24934275028859687
Badajoz,188724.0,669943,0.2817015775969
Balears (Illes),745744.0,1173008,0.6357535498479123
Barcelona,3767430.0,5714730,0.6592489933907638
Bizkaia,516417.0,1154334,0.447372251012272
Burgos,114583.0,356055,0.3218126413054163
Cantabria,177215.0,584507,0.3031871303508769
Castellón/Castelló,282134.0,587064,0.48058474033495496
Ceuta,37418.0,83517,0.4480285450866291
Ciudad Real,134345.0,492591,0.2727313328907755
Coruña (A),319378.0,1120134,0.2851248154238689
Cuenca,58887.0,195516,0.30118762658810533
Cáceres,78057.0,389558,0.2003732435221456
Cádiz,520971.0,1245960,0.41812819031108545
Córdoba,267534.0,776789,0.3444101293916366
Gipuzkoa,224609.0,726033,0.3093647258457949
Girona,450699.0,786596,0.5729739281664286
Granada,350575.0,921338,0.38050639396182506
Guadalajara,94423.0,265588,0.355524345979487
Huelva,219449.0,525835,0.4173343349149448
Huesca,48761.0,224264,0.21742678272036528
Jaén,163226.0,627190,0.2602496851033977
León,145639.0,451706,0.322419892585
Lleida,181351.0,439727,0.41241724979362193
Lugo,67163.0,326013,0.2060132571400527
Madrid,4203731.0,6751251,0.622659563390548
Melilla,49674.0,86261,0.5758569921517256
Murcia,648005.0,1518486,0.4267441385696016
Málaga,896942.0,1695651,0.5289661610791372
Navarra,223854.0,661537,0.33838470108247914
Ourense,72693.0,305223,0.23816357220786114
Palencia,35523.0,159123,0.22324239739069776
Palmas (Las),472666.0,1128539,0.418830009419258
Pontevedra,271839.0,944275,0.28788117868205765
Rioja (La),91962.0,319796,0.2875645724149145
Salamanca,94730.0,327338,0.28939505954090267
Santa Cruz de Tenerife,457660.0,1044405,0.438201655488053
Segovia,41354.0,153663,0.2691213890136207
Sevilla,988422.0,1947852,0.5074420438513809
Soria,21287.0,88747,0.23986162912549155
Tarragona,439122.0,822309,0.5340109374942996
Teruel,24615.0,134545,0.18294994239845405
Toledo,283894.0,709403,0.40018719965943195
Valencia/València,1390731.0,2589312,0.5371044509120569
Valladolid,168898.0,519361,0.32520347118863374
Zamora,41246.0,168725,0.2444569565861609
Zaragoza,343206.0,967452,0.3547524838441597
Ávila,43849.0,158421,0.2767877995972756
